Age,Annual Income (LPA),Borrowed Amount (LPA),Credit Score,Loan Tenure (months),Employment Status,Existing Loans,Marital Status,Education Level,Repayment Probability
59,9.44,4.22,787,89,Self-Employed,1,Married,Graduate,0.179
49,1.0,1.18,656,163,Self-Employed,0,Married,Graduate,0.199
35,4.48,4.38,561,67,Salaried,0,Married,Graduate,0.111
63,15.81,1.98,658,61,Salaried,1,Married,High School,0.262
28,25.73,24.49,741,112,Salaried,1,Married,Post-Graduate,0.043
41,11.22,8.84,759,14,Self-Employed,3,Married,Graduate,0.082
59,14.62,5.47,835,34,Salaried,1,Married,Graduate,0.246
39,19.62,29.31,590,173,Self-Employed,0,Married,Graduate,0.01
43,5.51,7.47,656,20,Self-Employed,1,Married,Graduate,0.19
31,14.93,7.61,582,93,Self-Employed,3,Single,Post-Graduate,0.146
31,6.08,5.21,566,70,Salaried,1,Single,Graduate,0.184
44,18.92,10.28,637,77,Self-Employed,1,Married,Graduate,0.152
56,13.21,15.66,736,161,Salaried,2,Married,Graduate,0.133
60,14.39,20.18,777,126,Salaried,2,Single,Graduate,0.115
44,5.74,3.46,605,46,Salaried,1,Married,Post-Graduate,0.168
23,17.66,21.68,619,170,Self-Employed,0,Single,Graduate,0.093
42,28.68,22.88,522,229,Salaried,0,Married,Post-Graduate,0.025
22,3.94,2.58,721,89,Self-Employed,1,Single,High School,0.191
44,9.28,13.12,626,120,Self-Employed,3,Single,Post-Graduate,0.018
64,13.85,11.28,866,59,Self-Employed,1,Married,Graduate,0.181
50,18.29,13.8,740,64,Salaried,1,Married,High School,0.213
58,7.52,7.83,682,231,Unemployed,2,Married,Graduate,0.113
22,1.0,1.0,635,86,Salaried,0,Single,Graduate,0.11
41,22.87,12.69,550,43,Self-Employed,1,Married,Graduate,0.16
53,18.08,25.4,563,224,Salaried,3,Married,Post-Graduate,0.0
32,1.0,1.05,637,226,Self-Employed,0,Married,Graduate,0.132
42,7.14,8.98,630,99,Salaried,2,Married,Graduate,0.124
64,24.55,11.77,600,151,Self-Employed,1,Married,Graduate,0.185
45,23.58,20.31,737,73,Salaried,1,Married,Graduate,0.184
47,19.51,28.48,751,14,Self-Employed,0,Single,Graduate,0.166
62,10.59,5.78,654,17,Salaried,0,Single,Graduate,0.314
48,12.66,4.11,893,138,Self-Employed,1,Married,Graduate,0.324
36,10.95,8.93,525,123,Salaried,0,Married,Graduate,0.045
35,21.03,13.52,705,23,Self-Employed,1,Married,Graduate,0.192
64,4.99,1.61,678,64,Salaried,1,Married,Graduate,0.22
23,5.55,7.46,644,159,Salaried,0,Single,Graduate,0.092
57,20.08,29.86,630,145,Self-Employed,1,Married,Graduate,0.078
27,11.65,10.44,699,95,Self-Employed,1,Single,Graduate,0.065
41,23.03,27.28,677,153,Self-Employed,0,Married,High School,0.117
29,6.63,8.64,660,195,Unemployed,1,Single,Graduate,0.104
59,11.56,12.5,570,180,Salaried,0,Single,Graduate,0.052
38,4.62,1.0,538,60,Salaried,2,Single,Graduate,0.035
24,12.06,3.87,671,119,Salaried,3,Married,Graduate,0.193
45,1.0,1.0,659,204,Salaried,2,Single,Graduate,0.148
34,8.1,1.0,680,95,Salaried,2,Married,Graduate,0.163
29,1.0,1.0,689,225,Self-Employed,0,Married,Post-Graduate,0.133
46,17.55,11.4,647,115,Salaried,3,Married,High School,0.121
22,17.73,7.76,678,106,Salaried,0,Single,Graduate,0.132
40,1.0,1.0,614,42,Salaried,0,Married,Graduate,0.232
