Age,Annual Income (LPA),Borrowed Amount (LPA),Credit Score,Loan Tenure (months),Employment Status,Existing Loans,Marital Status,Education Level,Predicted Repayment Probability (%),Loan Eligibility
35,5.56,7.84,647,221,0,2,1,1,9.1,❌ Unlikely to Get Loan
47,16.97,14.23,856,39,1,2,0,1,23.4,❌ Unlikely to Get Loan
25,8.77,5.36,596,30,0,1,1,2,13.58,❌ Unlikely to Get Loan
22,9.64,10.4,618,128,0,2,0,2,9.71,❌ Unlikely to Get Loan
58,13.5,14.4,765,239,0,0,1,1,15.82,❌ Unlikely to Get Loan
51,27.69,34.41,731,120,0,2,1,1,9.5,❌ Unlikely to Get Loan
62,18.68,26.27,713,205,0,1,1,1,8.88,❌ Unlikely to Get Loan
60,6.63,3.84,727,231,0,2,1,2,15.35,❌ Unlikely to Get Loan
50,1.97,1.0,642,50,0,1,1,2,15.28,❌ Unlikely to Get Loan
65,14.59,19.96,593,26,1,4,1,1,5.18,❌ Unlikely to Get Loan
59,7.31,2.61,856,118,0,1,1,1,25.37,❌ Unlikely to Get Loan
39,10.16,6.05,586,49,0,2,1,1,11.69,❌ Unlikely to Get Loan
24,10.53,7.27,501,137,1,0,0,1,7.12,❌ Unlikely to Get Loan
47,11.11,14.48,627,191,0,1,1,1,8.15,❌ Unlikely to Get Loan
29,10.28,9.44,780,220,0,1,0,2,17.6,❌ Unlikely to Get Loan
49,8.17,7.66,498,240,1,0,0,1,4.01,❌ Unlikely to Get Loan
27,1.0,1.18,615,225,-1,1,1,1,10.17,❌ Unlikely to Get Loan
62,13.49,20.2,790,90,-1,0,0,2,17.21,❌ Unlikely to Get Loan
25,16.95,24.58,573,52,1,0,0,2,6.16,❌ Unlikely to Get Loan
51,4.46,1.26,718,87,-1,0,1,1,19.81,❌ Unlikely to Get Loan
59,17.76,26.26,700,204,1,0,1,1,8.81,❌ Unlikely to Get Loan
54,14.46,16.11,706,101,0,0,0,2,15.14,❌ Unlikely to Get Loan
