Exam_Marks,Predicted_Pass,Pass_Probability,Pass_Status
78,1,100.0, Pass
40,0,47.21, Fail
88,1,100.0, Pass
68,1,100.0, Pass
36,0,1.18, Fail
58,1,100.0, Pass
37,0,3.4, Fail
45,1,99.49, Pass
84,1,100.0, Pass
61,1,100.0, Pass
50,1,100.0, Pass
82,1,100.0, Pass
31,0,0.01, Fail
36,0,1.18, Fail
43,1,95.79, Pass
52,1,100.0, Pass
33,0,0.05, Fail
69,1,100.0, Pass
89,1,100.0, Pass
44,1,98.53, Pass
43,1,95.79, Pass
88,1,100.0, Pass
82,1,100.0, Pass
55,1,100.0, Pass
59,1,100.0, Pass
33,0,0.05, Fail
55,1,100.0, Pass
84,1,100.0, Pass
81,1,100.0, Pass
68,1,100.0, Pass
81,1,100.0, Pass
20,0,0.0, Fail
44,1,98.53, Pass
31,0,0.01, Fail
61,1,100.0, Pass
30,0,0.0, Fail
76,1,100.0, Pass
77,1,100.0, Pass
86,1,100.0, Pass
87,1,100.0, Pass
69,1,100.0, Pass
77,1,100.0, Pass
49,1,99.99, Pass
55,1,100.0, Pass
67,1,100.0, Pass
43,1,95.79, Pass
61,1,100.0, Pass
78,1,100.0, Pass
64,1,100.0, Pass
27,0,0.0, Fail
75,1,100.0, Pass
88,1,100.0, Pass
24,0,0.0, Fail
48,1,99.98, Pass
66,1,100.0, Pass
25,0,0.0, Fail
86,1,100.0, Pass
31,0,0.01, Fail
57,1,100.0, Pass
